counterparty_id,counterparty_name,domicile,lei_code,onboarded_date,relationship_manager,credit_limit_usd,internal_rating,_true_a_id,_match_type
CP-006128,Ayala and Sons cap,GB,271H00ESSW0YY9F78881,2010-10-12,Stephanie Hudson,10023810,1A,ENT-003476,matched
CP-007455,Oliver-Nguyen Capital,NO,,2020-08-01,Louis Davis,60494837,3A,ENT-009742,ambiguous
CP-005206,Wise-Dean AB,DK,,2023-05-24,Lisa James,6581359,3B,ENT-001163,matched
CP-003006,Fitzgerald-Robertson & Co,AT,N4PL00KKD3I25TLOBX96,2022-12-22,John Rodriguez,5334932,1A,ENT-006529,matched
CP-004971,Holland-Best AB,AU,,2012-10-12,Jamie Cox,20925297,2B,ENT-002306,matched
CP-001319,Carter-Hendrix Hldgs,SE,KY5M00610GQWXQ825X82,2022-07-02,James Griffin,9185367,3A,ENT-005092,matched
CP-001737,Goodman-Macias Hldg,AT,E5SC00BM2PM29KSGZN66,2019-07-04,Mrs. Kathy Taylor MD,87275439,3B,ENT-009643,matched
CP-007847,Harmon Ltd,DE,,2010-07-18,Kathleen Diaz,91760251,1A,ENT-008929,ambiguous
CP-007323,Jones-Boyd BV,BE,,2011-11-25,Ashley Dixon,49746997,1A,ENT-007507,ambiguous
CP-004868,Rivas-Stevens AB,SE,0J9U00PLFWCJP24DKG45,2021-03-18,Joseph Jackson MD,9180318,1A,ENT-009183,matched
CP-001683,"Garcia, Mccall and Reyes",FR,,2022-06-04,Mary Peters,6619404,2A,ENT-007854,matched
CP-002276,Bryant Grp Group,DK,EBNV00G5VMF60YKNFU37,2012-03-27,Roberto Graham,68880136,NR,ENT-000148,matched
CP-001163,White-Murphy saS,FR,MJJS00ZJIX7AXJO9ES65,2010-09-06,Brad Barnes,95228533,1B,ENT-007366,matched
CP-006687,Espinoza-Jackson nv,NL,,2019-01-14,Heather Kim,85142163,2B,ENT-005240,matched
CP-002272,Davis Limited Ltd,JP,TE7Q003SI3A73CXNOM68,2012-02-20,Jacob Marshall,64201638,NR,ENT-008132,matched
CP-008483,Garcia-Higgins AG,LU,,2022-05-30,Brian Baker,1340549,2A,ENT-009595,ambiguous
CP-006922,Murphy P.L.C. GmbH,LU,,2016-10-11,Jason Freeman,48798341,3A,ENT-007827,matched
CP-001378,Day and Sons Hldgs,NL,5MQC00T07EVC8USAO785,2010-06-11,Hunter Woods,7781926,1A,ENT-006065,matched
CP-002517,Hunter LLC LTD,IT,,2016-05-14,Lori Dillon,55168997,NR,ENT-002876,matched
CP-005167,"Gomez, Bryant and Ross Grp",US,QDDW00SRMH6R8OFRJM78,2020-11-23,Margaret Cooper,98471272,2A,ENT-006861,matched
CP-006984,Smith Grp Group,CH,J2ZK00L7KVUJNH46RL30,2011-06-12,Steven Rhodes,55245974,3A,ENT-005088,matched
CP-003964,"Mcdonald, Ware and Sharp nv",NL,FMTB0002BLCYQVAOO486,2020-06-26,Steven Roberts,71125038,2B,ENT-002361,matched
CP-009611,Green-Mendez Ltd,IE,,2011-02-15,Colin Scott,17453354,2B,,unmatched
CP-009720,Wood and Sons Holdings,GB,VPZ1004G4M730VI7E956,2010-08-12,Lauren Mitchell,61564883,2B,,unmatched
CP-002814,Harrell LLC LTD,JP,BSV5005PSQ0OXFQ8MY93,2019-08-05,Brian Flores,25995515,NR,ENT-000038,matched
CP-009001,"Moody, Haley and Lara NV",HK,,2022-01-27,Kristin Lloyd,75786187,1A,,unmatched
CP-003347,Aguilar-Bender inc,CA,72HU00N8FITOZABDJQ86,2013-11-30,Anthony Valdez,50377312,2A,ENT-001246,matched
CP-004472,"Perry, Webster and Ryan saS",LU,GMRM00SNT0KTE4LD2Z12,2017-08-08,Rachel Rios,37404545,2A,ENT-005362,matched
CP-008472,"Fry,",FR,,2022-06-19,Melissa James,72426086,2B,ENT-001650,ambiguous
CP-001006,Mason L.L.C. SA,HK,,2017-10-31,Kimberly Vazquez,40087494,NR,ENT-004495,matched
CP-004244,Fisher Incorporated AB,DE,PO7M00HV9SAHJPVKNJ49,2016-08-27,Andrew Chambers,20925697,1A,ENT-002687,matched
CP-003377,Hunter-Bell Incorporated,US,IV5500RCD48P6EH2Y258,2023-01-13,Theresa Adkins,71529310,2A,ENT-002230,matched
CP-002376,Thomas-Strickland N.V.,NL,70T500HQXETSAIFY0E81,2021-01-31,Danielle Luna,39156883,2B,ENT-006461,matched
CP-008404,Miles-Andrews PLC,GB,,2017-09-17,Debra Hernandez,84416096,2A,ENT-008289,ambiguous
CP-005506,"Garner, Fox and Chan ag",DE,JA0D00F2BWKWDKV2DD66,2021-05-02,Katherine Jones,74672226,1B,ENT-004107,matched
CP-002833,Davis Incorporated NV,BE,KPGG00ERSDUHH03G9566,2017-05-28,Stephanie Nixon,81613235,1A,ENT-000371,matched
CP-004689,Johnson-Perez Grp,NO,,2012-11-26,Cody Martin,16796674,1A,ENT-005268,matched
CP-008286,Fischer,DE,,2018-10-15,Arthur Miller,17978417,NR,ENT-003342,ambiguous
CP-009147,Collins Inc Holdings,NO,,2016-04-22,Sean Brooks,73919894,1A,,unmatched
CP-004440,Turner Incorporated Capital,IT,,2022-04-27,Ellen Freeman,38067784,3B,ENT-008631,matched
CP-007755,Russell Group,IE,,2018-10-27,Melissa Best,67350533,2A,ENT-000619,ambiguous
CP-009628,Carpenter-Brennan Partners,AU,,2017-02-07,James Phillips,41858743,2B,,unmatched
CP-006000,"Harper, Dodson and",CH,SZ6A00FC1W6U6CCD0Q78,2017-12-18,Sandra Brown,98672820,1A,ENT-008364,matched
CP-009500,Lee-Nunez Limited,ES,,2016-01-06,Gabriella Dean,6073663,3A,,unmatched
CP-004996,Collier-Gillespie B.V.,CA,5N5300EGDD8MWE776V32,2021-03-18,Lori Dawson,75762588,2A,ENT-000409,matched
CP-002782,"Ferrell, Jones and Lewis P.L.C.",LU,F4PY00ZR6QCEOUUYLA42,2020-03-16,Michelle Guerra,35299855,2A,ENT-000086,matched
CP-002787,Brock and,ES,,2011-07-30,Gina Richardson,28627294,2B,ENT-001398,matched
CP-009330,Williamson PLC Ltd,GB,NNA200YTASYMZI8ULR12,2022-08-24,Debra Reese,76749575,3A,,unmatched
CP-004336,Smith-Kelley GRP,IT,,2015-11-27,Vanessa Bass,23222315,2B,ENT-002440,matched
CP-007859,Smith-Yu,BE,,2018-12-28,James Salazar,89090869,NR,ENT-002222,ambiguous
CP-009267,Lara Ltd Capital,DK,,2020-10-04,Joseph Peters,22323597,1A,,unmatched
CP-003882,Wyatt Inc. Capital,DK,,2019-05-26,Mr. Larry Chapman,55666157,3B,ENT-007856,matched
CP-004986,"Lee, Roth and Erickson & Ptrs",ES,ZNL30024ZXC8HWHF5L62,2020-09-05,Sharon Stone,52887669,2A,ENT-004401,matched
CP-003374,"Williams, Hughes and Hubbard",DE,AWQ6004NFUC4WSSCN963,2014-07-16,Scott Vega,74078176,3A,ENT-001673,matched
CP-008381,Combs-Davis Holdings,BE,,2017-10-12,David Smith,43218121,NR,ENT-001462,ambiguous
CP-009614,Hinton-Phillips Holdings,DK,,2010-10-19,Mary Beck,73118068,1A,,unmatched
CP-007452,"Nichols,",IT,,2011-07-31,William Campbell,72627901,2B,ENT-007543,ambiguous
CP-008262,Smith-Hansen,JP,,2013-10-02,Mr. Matthew Hill,36522040,2B,ENT-007467,ambiguous
CP-002911,"Leonard, Rogers and Shaw A.G.",DE,,2016-03-25,Robert Spencer,50143175,2A,ENT-002166,matched
CP-007226,Vance,US,,2018-05-31,Ryan Anthony,70639229,1B,ENT-001335,ambiguous
CP-005375,Merritt Inc. Holdings,AU,1R8900BHSDDC05K1ED47,2011-04-08,Paula Murphy MD,45663552,2A,ENT-005572,matched
CP-006376,Reynolds P.L.C. BV,NL,45AQ00AKZHDD49H06D78,2014-11-22,Kenneth Crosby,56418474,1B,ENT-005497,matched
CP-003293,Gregory-Nixon cap,ES,,2022-10-16,Nicole Deleon,2981557,1A,ENT-001858,matched
CP-004448,King and Sons,IT,47XG0019N7EBYY86NZ13,2014-01-15,Justin Woodard,71092941,1A,ENT-005209,matched
CP-009169,Douglas-Woods Group,DE,,2021-02-21,Yolanda Watkins,20373079,1A,,unmatched
CP-007280,Solomon-Le Partners,US,,2015-02-25,Lauren Sanders MD,22631715,1B,ENT-004849,ambiguous
CP-003969,"Reynolds, Watts and Bass AB",IE,DK3K00PQJC2NDDKKSA95,2012-07-09,Lauren Johnson,35834465,3A,ENT-005020,matched
CP-002436,Blackwell L.L.C. Holdings,NO,,2012-08-16,Brandi Hughes,71172116,3B,ENT-000496,matched
CP-008546,Robinson Group,DE,,2022-02-11,Shawn Taylor,30594487,2B,ENT-006365,ambiguous
CP-005978,"Ortiz, Hoffman and Fuller Cap",SG,,2010-11-21,Mrs. Veronica Torres,62538502,2A,ENT-004354,matched
CP-002159,Douglas plc NV,IE,4PHF00AXI1S9NPAXUZ54,2018-11-03,Ashley Carson,17418944,2B,ENT-001648,matched
CP-005461,Goodman-Wright Limited,AU,,2013-03-11,Shawn Chavez,10339947,NR,ENT-006297,matched
CP-004327,Lopez-Jordan & Co,HK,,2015-04-03,Robert Decker,97537971,1B,ENT-003507,matched
CP-003677,Ward-Chase Grp,CA,LUKY00NH02BHXXS6Y871,2021-06-03,Jennifer Riley,72474048,NR,ENT-003130,matched
CP-001456,Davis-Williams GRP,DK,,2019-10-11,Robert Jackson,93848200,2B,ENT-006397,matched
CP-006822,Barnes L.L.C. Corp,US,,2015-10-08,Ricardo Trevino,7653132,3A,ENT-001691,matched
CP-002753,Ali-Collins gmbh,CH,,2011-01-14,Christopher Camacho,21631796,1A,ENT-005960,matched
CP-007879,"Floyd, Boyd",BE,,2018-09-26,Harold Park,52277740,3B,ENT-005948,ambiguous
CP-002232,Lyons and Sons cap,HK,Y82200U34HCXPCSZ7Q75,2015-02-11,Louis Smith,54738548,2A,ENT-006094,matched
CP-001018,"Munoz, Rojas and",SE,D8QM00G6I1AQXTK2KY86,2014-11-28,Monica Hernandez,70154054,1A,ENT-006971,matched
CP-001015,"Chandler, Knight and",SE,,2018-04-16,Ian Poole,81743756,2B,ENT-004769,matched
CP-004357,"Tate, Flores and Russell plc",HK,,2013-06-29,Marcia Nichols,41777541,2B,ENT-008757,matched
CP-009350,Peterson-Phelps Corp,SG,AH7Z0042XODJFES4UN96,2012-04-23,Ricardo Johnson,25249626,3B,,unmatched
CP-001773,"Garrett, Wells and Cruz & Co",IT,1PXG003KZQUUYHVMOU70,2010-01-23,John Harrison,4366379,3A,ENT-005233,matched
CP-008594,"Wells, Garner",CH,,2020-08-05,Deborah Bautista,71174239,NR,ENT-006641,ambiguous
CP-005252,"Reid, Thomas and Gill",IT,FFEP00FCLPZUY2HXGZ60,2022-02-08,Destiny Saunders,50167965,3B,ENT-004772,matched
CP-007128,"Espinoza, Wells",GB,,2010-10-25,Gary Wilson,75021905,2A,ENT-003692,ambiguous
CP-007557,Henderson,HK,,2020-12-26,Karen Adams,38171009,2A,ENT-005493,ambiguous
CP-006165,Rhodes-Holland gmbh,CH,,2014-03-09,David Lawson,26685525,2B,ENT-002315,matched
CP-006348,weaver-sherman & co,JP,IBA6005D2H5LOMZOLM96,2012-12-08,Julian Banks,38634883,2B,ENT-000845,matched
CP-009179,"Hernandez, Jarvis and Howell BV",BE,,2015-04-12,Patrick Mitchell,83888228,3A,,unmatched
CP-007260,Moore-Blackwell,SE,,2015-09-27,Emily Horn,40787183,2A,ENT-009135,ambiguous
CP-009067,Allen Inc Holdings,ES,QISN00C6LZMO4HOET559,2016-11-24,Troy Brown,89839453,3A,,unmatched
CP-001240,Frey-Diaz Grp,DK,1N0100MO458BV45RHQ29,2013-01-24,Charles Farley,26791265,2B,ENT-004370,matched
CP-004250,Turner-Sharp hldgs,SE,,2016-09-27,Alexander Burton,362656,1A,ENT-000641,matched
CP-005786,"Welch, Johnson and Thompson",ES,,2020-10-06,Kyle Anderson,2531322,2A,ENT-003439,matched
CP-004464,Gutierrez-Hughes nv,SG,OAJN00UWTM93QOZEZ641,2022-04-30,Christopher Pierce,66558113,2B,ENT-009349,matched
CP-008212,Castaneda,CH,,2019-06-17,Amanda Alexander,22733901,1A,ENT-006044,ambiguous
CP-005496,Burns Limited AB,IT,,2012-08-21,Shane Sawyer,79458762,3A,ENT-009671,matched
CP-001248,Gross-Davis Hldgs,AT,,2012-07-04,Heather Jennings,32233284,2B,ENT-003331,matched
CP-003003,Curry inc SRL,CA,KD1P00OXRTEO2T8FY692,2011-04-26,Catherine Mueller,21619463,2A,ENT-000176,matched
CP-008630,Morgan,CH,,2012-07-05,Carla Young,91414375,3A,ENT-002574,ambiguous
CP-001912,Jenkins-Rogers Hldgs,DK,,2010-12-29,Melissa Hughes,53671968,1B,ENT-003095,matched
CP-000197,Fowler-Smith gmbh,CH,Y5AB00G8HAO4W1281D82,2022-06-21,Mr. Kevin Johnson,5529599,2A,ENT-008286,matched
CP-004284,Richardson-Hill bv,IE,,2017-01-29,Eduardo Booth,35094302,1A,ENT-003412,matched
CP-005941,Cook-Fischer Corp,CA,,2013-07-25,Jennifer Sanchez,10566080,2A,ENT-009068,matched
CP-005590,Gordon Plc Group,BE,,2020-07-03,Stacey Wilson MD,63629579,NR,ENT-005820,matched
CP-008391,"Russell,",AU,,2013-09-09,Donna Villanueva,10728735,1B,ENT-005608,ambiguous
CP-006161,Miller Limited Group,NL,,2013-01-26,Misty Mccann,45944536,2B,ENT-007895,matched
CP-009691,Riggs-Willis GmbH,LU,PS1O00XAXXCHDXMHH766,2015-05-12,Jack Rios,94797436,2B,,unmatched
CP-005245,Williams-Richardson S.A.S,FR,HRAZ00N3EXIHEPN55E74,2023-05-25,Rodney Ford,20944013,2B,ENT-007637,matched
CP-005195,Johnson-Spencer A.G.,HK,2G7400IZG9JJ0076EK36,2013-01-18,David May,71779916,NR,ENT-000532,matched
CP-007891,Rodriguez-Maxwell,GB,,2022-08-17,John Warner,85800221,3B,ENT-006216,ambiguous
CP-007737,Weaver-Baker Capital,DK,,2020-09-15,Michael Moore,73002677,1A,ENT-004932,ambiguous
CP-003162,Mcdonald GRP & Co,AT,QS3Q005MF5ZWILK2VC31,2021-03-22,Jillian Andrews,14210841,1B,ENT-006401,matched
CP-005175,"Beltran, Lozano and Mcgee plc",ES,9YKI00PUT7SSOQZ3MV74,2013-02-22,Susan Figueroa,80360736,NR,ENT-000310,matched
CP-003073,Taylor grp. Holdings,NL,ZZE200TBST9XWI708449,2020-12-08,Mrs. Beverly Woods,16722544,2B,ENT-001305,matched
CP-000166,Gibson LTD Group,GB,WG7000LRZ5SEFHSEYW90,2019-08-16,April Smith,50626950,1A,ENT-004734,matched
CP-001509,Shepherd-Jarvis LTD,US,6GBB00DXKJFPTTD4D931,2016-11-25,Mark Martin,97261969,2A,ENT-007389,matched
CP-005664,Hernandez Incorporated NV,NL,,2019-11-11,Laura Ellis,87491134,3A,ENT-003693,matched
CP-007530,Reid Group,BE,,2021-07-11,Rebecca Robinson MD,33665068,3A,ENT-000330,ambiguous
CP-003362,King grp. AG,IE,,2023-08-21,Tyler Banks,14745623,1B,ENT-002132,matched
CP-001372,Miller Group LTD,JP,,2011-04-08,Willie Bowers,49255389,1A,ENT-009626,matched
CP-006081,Floyd-Kelly corp,JP,,2022-09-10,Michael Brown,20098240,3B,ENT-004888,matched
CP-000238,Roberts-Byrd plc,GB,,2023-06-08,Amanda Rivera,17925350,2B,ENT-005892,matched
CP-002649,"Grant, Rodriguez and",FR,,2017-01-04,Jamie Smith,94656358,3A,ENT-009329,matched
CP-009145,"Sims, Hahn and Welch Corp",LU,,2013-08-07,James Lopez,88724589,1A,,unmatched
CP-002508,"Daniels, Vance and York",IT,QJJB00FSA5UZLZUKZY29,2021-04-08,Dawn Blake,61792796,2A,ENT-000528,matched
CP-008995,"Blackwell, Clark",SG,,2010-09-02,Lori Mendoza,95960756,3A,ENT-002590,ambiguous
CP-004835,"Daniel, Kelley and",NO,ZETV00LLBTXJUVRM2871,2014-05-21,Zachary Patterson,28493724,3B,ENT-002231,matched
CP-002467,Trujillo Grp Capital,CA,RLMG00QQ0RHQAH8VKJ51,2014-10-15,Matthew Moody,12076271,1B,ENT-008462,matched
CP-003759,"Roth, Lee and Griffin cap",FR,RVA200ULZFQDM6RZQ036,2013-12-28,Taylor Harris,73551522,1A,ENT-002995,matched
CP-006944,jones-lin & co,IT,UB0G00Z1VHHGY8NNKL25,2015-10-23,Kristy Johnson,16065925,2B,ENT-000427,matched
CP-007772,Wells,LU,,2018-06-19,Erik Smith,95840360,NR,ENT-009980,ambiguous
CP-001239,Davis Grp GmbH,DE,K00700YWUHKOLFMB4P65,2020-01-17,Natalie Harrison,13602014,2B,ENT-007699,matched
CP-002220,"Mckinney, Graves and Thompson Hldg",GB,,2012-06-27,Brandi Ferguson,32052890,3B,ENT-000529,matched
CP-000738,"Erickson, Armstrong and Lee AB",DK,B2RH007326XPJ2QI8046,2013-10-05,Peter Mejia,57583737,3A,ENT-001125,matched
CP-006503,Pope P.L.C. Corp,CA,QC7800RK8W2KPKCMQF68,2011-10-14,Christopher Gonzalez,70247325,3A,ENT-004196,matched
CP-003596,Paul inc BV,IE,D7OO00SP541A83T3OW38,2014-12-31,Jared Huynh,66747420,2B,ENT-008002,matched
CP-000128,Reyes Limited Capital,HK,,2017-07-10,Oscar Williams,92240430,2B,ENT-005859,matched
CP-004417,"Perez, Hall and Garcia A.G.",DE,Q5ZJ00AUCYHONBPQGA15,2013-08-24,Michael Tapia,35289797,2B,ENT-000616,matched
CP-002780,Alexander LTD Ltd,GB,L0QK00VXD7I95JDT9Y54,2014-05-03,Christopher Gomez,22420466,NR,ENT-007727,matched
CP-003095,"Wagner, Melendez and Valdez",JP,S7VZ0042PNAUBHUIU396,2016-06-17,Jacqueline Vaughn,80797459,3B,ENT-003559,matched
CP-008244,Smith-Anderson &,ES,,2016-11-01,Lisa Obrien,84620579,1A,ENT-004775,ambiguous
CP-008298,Fisher-Eaton AG,AT,,2020-07-13,Bobby Anderson,49328911,1A,ENT-001133,ambiguous
CP-004298,Barber-Koch grp.,BE,,2013-12-04,John Reid,90762870,2A,ENT-006797,matched
CP-003621,Hill-Wood Hldgs,NO,,2017-03-24,Anthony Rodriguez,68239576,2B,ENT-003997,matched
CP-001350,Martin llc Group,CH,,2019-12-09,Connie Costa,62584430,3B,ENT-005428,matched
CP-003382,Alexander llc SAS,FR,DETN003HOJWXUQ9WZU82,2016-02-19,Erica Mccoy,27714407,2B,ENT-003438,matched
CP-003195,"Cohen, Compton and",NL,,2021-07-20,Christina Ward MD,42372114,1A,ENT-001088,matched
CP-009835,"Sandoval, Michael and Jones NV",NL,S6WP00HZLP0NXLLQWN72,2010-04-02,Brandon Baker,64763147,3A,,unmatched
CP-002864,Marshall-Miller LTD,LU,GYUA004QGVMDVMWTRS36,2020-10-14,Amy Cervantes,21621511,3A,ENT-001827,matched
CP-004385,"Williams, Sosa and Casey Cap",LU,,2016-06-11,Heather Cowan,35697214,2A,ENT-006280,matched
CP-001962,"Shah, Mcintyre and Villanueva GRP",DE,GQ7800U42I3P4LFDJ267,2020-04-15,Jesse Brown,80170029,2A,ENT-001972,matched
CP-006206,Hudson-Calderon Hldg,GB,90NZ00DB39ESXFEDBD56,2017-01-29,Christine Krueger,74473517,3B,ENT-003538,matched
CP-001866,Wright-Grimes Grp,DK,RGNJ00ZM3618LEU6ZU81,2012-03-21,Kimberly Schmidt,51899581,2A,ENT-000563,matched
CP-008689,"Henderson, Ramirez",ES,,2011-09-10,Anne Frank,303716,1A,ENT-000007,ambiguous
CP-008361,Adams-Perkins Corporation,US,,2022-03-12,Scott Whitehead,41410504,1A,ENT-003028,ambiguous
CP-001853,Edwards L.L.C. Holdings,BE,,2021-11-14,Robert Henderson,66045080,3A,ENT-002199,matched
CP-006582,Lopez-Brown Ptrs,AU,,2014-10-05,Jay Evans,9285262,2A,ENT-009881,matched
CP-001387,"Franklin, Gray and Wilson Ltd",GB,LCE500VH6RAK9AYED328,2023-03-16,Miguel Johnston,87861700,1B,ENT-009813,matched
CP-001146,"Rivera, Moore and Sanchez",AT,OGI500UV5VX9YGCTF540,2020-04-08,Anthony Woodard,92745666,2A,ENT-009597,matched
CP-004616,Weaver llc Capital,NO,71NM00O3DEEI9YRJW853,2018-01-28,Michael Frye,85716936,1B,ENT-002463,matched
CP-003260,"Stafford, Fisher and Avila G.m.b.H.",ES,Z5K900IT5CVTZ4PB7Z39,2023-01-28,Shaun Hess,38892119,3B,ENT-003270,matched
CP-000270,"Webb, Romero and Morse grp.",NL,OTIW00TLINJ1Q3Q5PC59,2021-01-19,Melissa Beck,35791744,2A,ENT-001233,matched
CP-000944,"jones, rowland and oconnor & co",CH,YBRU00854K8YWNX05J62,2018-04-26,Charlotte Carr MD,26602026,NR,ENT-003999,matched
CP-004602,"Contreras, Flores and Conrad",CH,57HT00KW7TJXFJB5OV97,2010-06-18,Debra Clark,58837374,1A,ENT-006687,matched
CP-002274,Hernandez-Mayer saS,LU,C9NT00JBHN8PUXF1B379,2019-09-08,Jason Martinez,91978103,1A,ENT-008171,matched
CP-004348,"Gomez, Mcgee and Cole N.V.",IT,,2010-06-06,Michael Fry,77488349,2B,ENT-003981,matched
CP-003275,Williams-Henry grp.,NL,M2L700AIV797ZGM50R39,2019-03-25,Tammy Brown,31125404,2A,ENT-007625,matched
CP-005833,"Smith, Yates and Perkins A.G.",AT,LK0N0043PPCZO35E8752,2020-03-19,Kathleen Walker,20481619,2A,ENT-007124,matched
CP-008542,Herrera Ltd,SG,,2020-01-28,Susan Wilcox,57809971,NR,ENT-003635,ambiguous
CP-001945,"Taylor, Porter and Moreno",DE,,2010-11-17,Brian Rios,82757544,1A,ENT-001231,matched
CP-007409,Smith-Garner Partners,US,,2023-08-09,Paula Fischer,4798652,2A,ENT-004417,ambiguous
CP-001118,Rojas-Tanner Hldg,AT,,2014-03-20,Angela Mills,95376996,2A,ENT-006413,matched
CP-007770,"Christensen,",IE,,2010-06-19,Jennifer Olson,95475096,3A,ENT-003734,ambiguous
CP-005811,"Williams, Johnson and Wright S.A.",FR,,2018-10-11,Anthony Ortega,1238219,1A,ENT-000178,matched
CP-003847,Patterson ltd. Group,NL,,2011-06-18,Kristen Salas,44684165,3B,ENT-006454,matched
CP-008227,"Coleman,",CH,,2023-01-18,Deborah Foster,97840992,3B,ENT-003061,ambiguous
CP-003594,"Francis, Lewis and",CH,99D500GYH5ILJB768654,2015-10-28,Matthew Smith,33033128,2A,ENT-005469,matched
CP-004277,Rodriguez-Jackson GRP,JP,ZIG000I6SMY8CAKLJK93,2012-04-15,Ryan Peterson,69283017,1B,ENT-006667,matched
CP-007949,Kelley-Anderson Capital,DK,,2021-08-14,Stacy Kennedy,27263569,3A,ENT-000871,ambiguous
CP-000875,Lee ltd. Capital,US,PZ3K00OHIREXGD2B9Y37,2021-05-23,Spencer Flores,89222533,3A,ENT-007030,matched
CP-005260,Jones Limited & Co,DE,,2020-03-21,Christopher Little,30545331,NR,ENT-001627,matched
CP-006280,Rivera-Jones G.m.b.H.,DE,XBKK000KANW2D0GZ4U78,2012-04-15,Tracy Brown,17742381,1B,ENT-008299,matched
CP-001776,"Michael, Anderson and Carrillo B.V.",BE,W5R500SSXRJ9IORYP696,2012-12-07,Mario Williams,51404859,1A,ENT-003040,matched
CP-008540,Brooks LLC,CA,,2017-05-11,Joseph Graham,93809391,2B,ENT-008984,ambiguous
CP-004937,Martinez Inc. & Co,CA,,2019-03-29,Elizabeth Fox,25316415,2B,ENT-005288,matched
CP-005834,"Fernandez, Kim and George Cap",SG,4MPK005EAXF5X9EE3499,2016-11-25,Lance Phillips,73736739,NR,ENT-000244,matched
CP-009836,Francis Ltd NV,JP,,2011-05-07,Jennifer Raymond,37765385,3B,,unmatched
CP-000459,"Moore, Simpson and Soto",NO,IGT600D97OIE00EJHR53,2020-10-15,Robert Eaton,26419984,3A,ENT-002316,matched
CP-001880,Munoz ltd. & Partners,LU,,2023-07-08,Steven Turner,21341453,NR,ENT-007328,matched
CP-008436,Cooper,IE,,2012-02-20,Andrew Turner,17191545,2B,ENT-003798,ambiguous
CP-005009,"Porter, Graham and York Ptrs",US,,2013-10-27,Raymond Martinez,6797594,2A,ENT-004437,matched
CP-006133,Smith-Owen plc,CA,,2015-10-14,Brandon Stone,40847361,1B,ENT-006862,matched
CP-006763,"May, Lee and Parker gmbh",LU,6EHH00W84R14EZ7MDD23,2019-12-29,George Smith,21171694,2A,ENT-005765,matched
CP-000410,"Shah, Aguirre and",CA,P9VZ00UAGEJDIFCW5699,2012-10-03,Crystal Beck,68518003,3B,ENT-003269,matched
CP-006683,Spears-Miller cap,GB,,2013-08-20,Stanley Mcdaniel,50051751,2A,ENT-005999,matched
CP-002765,Todd Inc. AB,NO,,2020-11-30,Jeffrey Campbell,6251191,1B,ENT-001616,matched
CP-000912,"Adams, Simmons and Carter sa",DE,,2017-09-13,Caleb Bell,3170033,3A,ENT-007648,matched
CP-002023,Martinez Limited GmbH,LU,,2019-05-23,James Hardin,70248236,1B,ENT-005465,matched
CP-007289,"Fisher,",CH,,2017-07-01,Anita Rios,95968623,2A,ENT-006588,ambiguous
CP-003917,"Perez, Bailey and Park",CA,P8VL00SLR5DUSCR8VO33,2012-04-21,Luis Smith,78194922,NR,ENT-004199,matched
CP-009074,Sexton-Cantrell & Co,CH,AX1Y00OVYJB0WVKNXC55,2019-03-31,Connor Jones,86860813,1A,,unmatched
CP-003384,Bell Ltd Plc,SG,,2015-05-01,Tiffany Sexton,27044568,2A,ENT-003422,matched
CP-007217,"Weaver,",BE,,2011-04-05,Lori Garza,19655116,1B,ENT-009743,ambiguous
