counterparty_id,counterparty_name,domicile,lei_code,onboarded_date,relationship_manager,credit_limit_usd,internal_rating,_true_a_id,_match_type
CP-000636,Gibbs-Bradley GRP,BE,7LIG009GMYKVYGW22Y34,2022-01-20,Michael Woods,95198297,2B,ENT-000634,matched
CP-000902,"Anthony, Pruitt and Jimenez Holdings",AU,H8YO00ALH2VG9MSUIQ41,2021-06-17,Thomas Brown,13334940,1B,,unmatched
CP-000987,Neal-Madden & Partners,ES,,2023-09-05,Stephanie Jackson,7096835,1B,,unmatched
CP-000071,Levy-Lewis Hldg,BE,TD3I00MZ93IJ4QPVC912,2018-09-20,James Nguyen,23814390,3B,ENT-000568,matched
CP-000575,Diaz-Ball Incorporated,JP,,2013-09-25,Richard Reyes,97006143,1B,ENT-000455,matched
CP-000144,Mitchell and Sons cap,NO,FD7L00TTC954AI227824,2013-09-09,Vincent Reyes,52257064,NR,ENT-000664,matched
CP-000235,"Ortega, Jackson and Salazar inc",US,QMC800FU0AB76LBWLA86,2020-06-10,Christina Weber,71835969,NR,ENT-000797,matched
CP-000511,"Pierce, Bell and Chavez Hldg",IE,BCK8008D0TGSIWG0OD91,2012-04-19,Christopher Hill,99095994,3A,ENT-000210,matched
CP-000447,Tran-Silva AB,SG,,2011-01-17,Robert Woods,22363132,3B,ENT-000711,matched
CP-000901,"Robinson, Townsend and Hopkins BV",IT,4LFS00I0LJ7ZKXEWV017,2019-09-17,Cory Hogan,59541626,2A,,unmatched
CP-000737,Bruce-Williamson,ES,,2015-09-09,David Jones,93870819,2B,ENT-000825,ambiguous
CP-000934,"Rogers, Lane and Rios Ltd",HK,UKLW00WIAYZD9UXLJ129,2021-06-26,Katelyn Wade,83207246,2B,,unmatched
CP-000463,Osborne L.L.C.,CH,SD3M000XO3FESYAXYP16,2017-01-30,Nicholas Stanley,21739913,NR,ENT-000515,matched
CP-000103,"Fisher, Payne and Thompson N.V.",ES,,2015-08-12,Megan Adams,30814379,2B,ENT-000909,matched
CP-000188,Sutton-Abbott & Co,AT,DB5Z008XGQHPZHUUG413,2012-06-30,Rebekah Gregory,16436260,2A,ENT-000735,matched
CP-000173,"Khan, Pena and Ruiz Cap",SE,,2017-06-08,Brittany Davis,6998679,2B,ENT-000570,matched
CP-000541,Castaneda-Rodriguez A.G.,ES,,2014-11-07,Justin Hurley,52081352,2A,ENT-000306,matched
CP-000930,Miller-Myers Group,AT,,2010-04-14,Tyler Jones,13991054,1B,,unmatched
CP-000480,"Woodard, Herrera and Little Corp",US,,2017-03-28,Robert Charles,74946712,1A,ENT-000795,matched
CP-000104,Holden Grp Group,CH,09JR00D4HQFGHDILUV59,2020-11-24,Alejandro Deleon,73718872,1A,ENT-000638,matched
CP-000308,Terry-Martinez GRP,NL,VDH800UZB7KR0AYMK974,2014-11-10,Julia Dunn MD,91074184,1A,ENT-000219,matched
CP-000357,"Morales, Williams and",AU,,2021-12-26,Carolyn Greer,71621518,2B,ENT-000579,matched
CP-000130,"Morris, Campbell and Owens hldgs",LU,W1UN002KTVV0Y9Q6KT56,2019-02-23,Elizabeth French,17183475,NR,ENT-000705,matched
CP-000957,"Flowers, Kennedy and Valdez Group",NL,,2014-07-13,Jennifer Vasquez,5062333,2B,,unmatched
CP-000717,Meadows,DK,,2022-05-06,Jason Crawford,95104542,3A,ENT-000170,ambiguous
CP-000460,Davis-Lewis ltd.,IT,,2020-10-05,Denise Wallace,16753360,3A,ENT-000343,matched
CP-000517,Thompson ltd. NV,BE,05WH0023GXRIRJUTFV42,2023-07-28,Matthew Miles,56733094,2A,ENT-000635,matched
CP-000882,Gross-Valencia,LU,,2016-01-08,Robert Walker PhD,84593959,1A,ENT-000558,ambiguous
CP-000025,Howard-Jordan GRP,NL,030700HDHJO5CTZETR41,2012-05-18,Jenna Gamble,76678131,2B,ENT-000296,matched
CP-000833,White,CA,,2014-07-11,Brent Garcia,1898091,3A,ENT-000453,ambiguous
CP-000759,Johnston-Odonnell Capital,ES,,2018-10-18,Robert Garza,41261009,2B,ENT-000185,ambiguous
CP-000661,Monroe-Carpenter bv,IT,38P600FVDHR59C81DO44,2016-09-14,Susan Hogan,12981860,NR,ENT-000274,matched
CP-000309,Wright LTD Holdings,AT,,2020-01-11,Brett Swanson,63135498,1A,ENT-000899,matched
CP-000220,Morrison LTD SAS,FR,6SS100A2R5BFYCW8IH97,2013-03-28,Jenna Bryant,83393187,NR,ENT-000418,matched
CP-000246,"Gallegos, Adams and White A.G.",CH,,2023-08-07,Paul Johnson,41918089,1B,ENT-000383,matched
CP-000293,Brooks and Sons cap,DK,X89I008YWGD4X4PZJ461,2017-10-19,Richard Turner,56737467,2A,ENT-000829,matched
CP-000830,"Ward, Porter",IE,,2013-10-31,Leah Lee,6918365,1B,ENT-000930,ambiguous
CP-000024,Morton-Chase N.V.,IT,,2023-08-08,Nicholas Rush,43049673,NR,ENT-000065,matched
CP-000869,"Greer, Potter",NL,,2014-12-31,Katherine Brown,69695566,NR,ENT-000847,ambiguous
CP-000802,Miller Group,US,,2022-03-18,Jennifer Yu,53369327,1A,ENT-000739,ambiguous
CP-000315,Christensen P.L.C. BV,NL,KJXJ00Q5NV8OGA0X7Z20,2015-06-21,David Walker,83820583,3B,ENT-000199,matched
CP-000378,Smith-Bell AB,NO,IMYN004U9BXF445CRI45,2022-07-31,Jack Moore,29418931,3B,ENT-000163,matched
CP-000056,Stokes Grp Capital,DK,DTTU00M2IXEXB92YFA38,2016-12-25,Dennis Marshall,8675358,2A,ENT-000999,matched
CP-000350,"hernandez, thompson and boyd & co",HK,,2022-05-06,Alison Williams,86109920,3A,ENT-000194,matched
CP-000784,"Griffin,",SG,,2015-08-29,Benjamin Smith,37670627,2B,ENT-000523,ambiguous
CP-000645,Ballard LTD Holdings,GB,0S2U00TBTTY9GFYW4I29,2011-02-04,Nicolas James,76298842,3B,ENT-000553,matched
CP-000573,Gonzalez grp. Capital,SE,,2017-08-13,Sean Kane,22602892,2A,ENT-000113,matched
CP-000233,"Miller, Hernandez and Reyes",FR,NTRF00ZWKXXJVE3DZE24,2022-12-30,Elizabeth Miles,83536326,NR,ENT-000157,matched
CP-000995,"Jimenez, Wagner and Daniels Group",CH,PM7T00FAECQAKTJYPZ72,2019-08-23,Kimberly Smith,28197221,3B,,unmatched
CP-000303,"Terrell, Byrd and",BE,,2010-03-07,Stephanie Cooper,85852856,2B,ENT-000798,matched
CP-000822,Allen,NO,,2011-11-05,Karen Thomas,97160690,2B,ENT-000677,ambiguous
CP-000123,"Watson, Anderson and Brown B.V.",NL,,2016-03-16,Courtney Nichols,88934823,3A,ENT-000373,matched
CP-000033,Ali plc AB,NO,,2020-02-06,David Rodriguez,83942298,3A,ENT-000746,matched
CP-000549,"Flowers, Martin and Kelly G.m.b.H.",LU,,2016-02-12,Heather Ellis,91923493,2A,ENT-000017,matched
CP-000826,Johnston-Hines,HK,,2011-04-01,Tina Reynolds,36212640,2B,ENT-000248,ambiguous
CP-000269,cruz-allen ab,SG,TBMR00LCRE8UA2HQG293,2022-09-23,Gary Ward,93880178,3B,ENT-000906,matched
CP-000342,Johnson-Rogers hldgs,CH,G3DX00VL5PVYIOMK2E87,2016-07-05,Jamie Solomon,18824468,1A,ENT-000167,matched
CP-000563,"Stanley, Tucker and Lee & Ptnrs",CA,KI3O00QYFOQMF5L9MO57,2020-01-17,Tammy Moore,37235605,2B,ENT-000073,matched
CP-000032,Willis and Sons GRP,DE,,2013-06-05,Derek Wright,31717209,1B,ENT-000347,matched
CP-000617,Suarez L.L.C. AB,DK,0IAA00KYTT3IMJ70E363,2011-08-30,Diana Hernandez,27749333,2B,ENT-000088,matched
CP-000598,Miller Incorporated GmbH,DE,,2018-07-15,Joshua Harris,92713147,3A,ENT-000896,matched
CP-000918,Smith Ltd & Co,DE,,2019-05-14,Michael Hodge,98445915,1A,,unmatched
CP-000542,"Clark, Salinas and Guerra AB",SE,E3MK00R4L2E4F4N3ZA16,2015-09-10,Jacob Erickson,40908173,3B,ENT-000788,matched
CP-000564,"Cole, Glass and Cunningham Hldg",SE,CZQ90091P778RNKOWY66,2019-07-15,Henry Taylor,12583511,3A,ENT-000421,matched
CP-000429,Young ltd. & Co,DE,TKB900OI0D4DMC2RH293,2022-02-24,Kenneth Brown,67878425,1A,ENT-000291,matched
CP-000137,Young-Martinez corp,HK,,2011-09-25,Keith Knox,55838013,1A,ENT-000478,matched
CP-000808,Miller,IT,,2022-02-10,Jonathan York,63447457,3A,ENT-000549,ambiguous
CP-000545,"James, Taylor and Turner & Co",CH,,2020-01-23,Anne Hardy,29606538,NR,ENT-000771,matched
CP-000925,Zavala and Sons SRL,LU,J9VH00QCNJBPS0QCU122,2011-11-20,Mariah Mclaughlin,57140732,2A,,unmatched
CP-000919,"Silva, Bray and Ford Capital",US,F3SU00THK9OE7TE8RT55,2011-12-27,Michael Lopez,70892096,NR,,unmatched
CP-000360,Gay inc Holdings,LU,Q15O002NQW4C6LBPJ879,2017-11-03,Grace Chavez,85925795,2B,ENT-000265,matched
CP-000155,"Lewis, Kennedy and Santana Hldg",CH,PXRL00ZU6WMX3N0KGA99,2021-01-26,Darryl Acosta,80697132,1B,ENT-000136,matched
CP-000391,"Rodriguez, Figueroa and Sanchez S.A.S",CH,JI0Y006DPBHSAHXTHV10,2020-05-02,Austin Walker,35559306,1B,ENT-000000,matched
CP-000082,"Hall, Hansen and Barnett",NL,,2013-11-25,Patrick Mccall,4404580,1B,ENT-000402,matched
CP-000483,Hernandez GRP Group,LU,E3FK00P96AIU01LC5W88,2018-01-11,Jeffrey Carter,34756091,1A,ENT-000948,matched
CP-000467,"Adams, Hodge and Duke A.G.",DE,,2013-10-09,Phillip Miller,80144457,2B,ENT-000856,matched
CP-000516,Santos-Avila GRP,SE,OXOU000Y9IXFY1Z68273,2023-08-28,Yolanda Garrett,36604456,2B,ENT-000620,matched
CP-000568,"Simmons, Meadows and Griffin gmbh",IE,,2015-03-22,Carrie Petersen,92932420,1B,ENT-000151,matched
CP-000973,Jones Group GmbH,AU,,2021-01-28,Amanda Rodriguez,90867292,2B,,unmatched
CP-000844,Graham,AU,,2010-08-15,Christopher Jones,82969403,1B,ENT-000404,ambiguous
CP-000872,"Morris,",LU,,2016-08-28,Anthony French,16925676,2A,ENT-000705,ambiguous
CP-000380,Mora-White hldgs,DE,7HN9008X16F4ZZW5UK47,2016-11-08,Jacob Hill,42932536,NR,ENT-000935,matched
CP-000117,"Price, Long and Wilson Ltd",GB,,2015-02-10,Ralph Yoder,86233200,1B,ENT-000824,matched
CP-000086,"Wang, Henderson and Morales nv",JP,ACF000R7FA6AHHCASI47,2016-03-11,William Ramos,54270999,1A,ENT-000914,matched
CP-000386,Sanders-Espinoza inc,IE,A7YP00P5ZP7R1M264U64,2012-06-19,Michael Martin,47659697,1A,ENT-000186,matched
CP-000769,Walsh,HK,,2019-02-23,Charles Hernandez,9183766,1B,ENT-000099,ambiguous
CP-000505,Chambers-Parker GRP,SE,B4JG00RXOZLEL8PL6U99,2019-09-16,Vickie Kennedy,78360480,3B,ENT-000659,matched
CP-000022,"lamb, martin and kim ab",LU,,2016-12-04,Courtney Chapman,9051475,3A,ENT-000454,matched
CP-000449,Bruce-Gonzalez bv,IE,7SPF000R8U7WPGBGQF69,2019-07-08,Justin Frederick,27586921,3B,ENT-000305,matched
CP-000444,Welch-Hogan nv,NL,VH0E00QT8FHU91C32937,2013-03-04,Dr. Samuel Holmes DDS,57230722,1B,ENT-000424,matched
CP-000487,"Alexander, Robinson and Coleman G.m.b.H.",SG,,2013-01-15,Dennis Henderson,84608548,2A,ENT-000846,matched
CP-000029,Cunningham-Barton hldgs,NO,915700KHZ22KEUVIV443,2011-12-10,Cynthia Haas,49965975,1A,ENT-000842,matched
CP-000707,"Wright, Garcia",DK,,2011-03-11,Stephanie Herrera,16660162,3A,ENT-000106,ambiguous
CP-000169,Weaver-Sherman & Co,JP,IBA6005D2H5LOMZOLM96,2021-06-10,Michael Phillips,49559554,2B,ENT-000845,matched
CP-000512,Kelly Grp Group,IT,,2021-05-22,Richard Smith,58438774,NR,ENT-000756,matched
CP-000733,Mueller-Boyd,CH,,2021-01-19,Bruce Hernandez,66261853,1A,ENT-000808,ambiguous
CP-000849,"Allen,",DK,,2016-01-10,Randy Robinson,77322050,3B,ENT-000749,ambiguous
CP-000991,Tate Inc Ltd,GB,LKTA00WMWUR1Z82H3984,2017-01-31,John Hall,46573789,1A,,unmatched
CP-000580,"Sanchez, Wheeler and Harvey nv",AU,GIUI009KKHZLM72JEY58,2013-10-06,Dylan Foster,93215758,1A,ENT-000080,matched
CP-000579,"Downs, Morris and Maddox Hldgs",BE,59B900C2ZUFDNU4I5Y54,2016-01-01,Kurt Wagner,56257785,NR,ENT-000422,matched
CP-000504,Mendez and Sons LTD,LU,,2013-12-08,Joel Wise,4828845,3B,ENT-000483,matched
CP-000364,Guerra Limited SA,HK,WA6M0096M5U2TLUGG064,2013-08-20,John Mendez,30575736,NR,ENT-000806,matched
CP-000267,"West, Henderson and Ramirez",NO,KKBP002QD6VASIFPWI63,2016-07-25,Jonathan Perry,60871579,3A,ENT-000063,matched
CP-000694,Avila L.L.C. Holdings,AT,,2017-01-13,Justin Stone,64495527,3B,ENT-000671,matched
CP-000045,Bishop and Sons bv,ES,C8MA0030W78ZWGDQBL81,2012-03-16,Brian Harris,68650839,NR,ENT-000893,matched
CP-000284,"Thomas, Lee and",HK,9UPN00HZX9FQ9TEA7168,2020-04-10,Maria Case,43011928,2A,ENT-000270,matched
CP-000848,"Martin,",LU,,2022-09-04,Cassandra Vasquez,60493048,NR,ENT-000047,ambiguous
CP-000557,Kane-Knox LTD,GB,,2017-06-25,Dawn Nixon,87971558,3B,ENT-000667,matched
CP-000638,Torres Grp & Co,CH,,2021-01-21,Samuel Henry,57062109,2A,ENT-000332,matched
CP-000578,"Morrison, Hebert and Rogers ag",AT,,2011-09-18,Nicholas Long,67944716,3B,ENT-000628,matched
CP-000247,"Beard, Peters and Black & Co",HK,DQQZ00RLF8A9KEPADA37,2015-07-06,Ashley Parrish,76576937,NR,ENT-000203,matched
CP-000787,Jones,SG,,2010-01-19,Richard Munoz,53629606,3A,ENT-000346,ambiguous
CP-000499,Jackson-Lawson & Co,CH,,2016-02-23,Amy Rowe,1182382,3A,ENT-000182,matched
CP-000866,"Austin, Day",AT,,2020-05-16,Lydia Howard,69744509,2B,ENT-000382,ambiguous
CP-000023,Smith-Gutierrez Plc,ES,,2021-09-21,Eric Barker,96956146,1B,ENT-000768,matched
CP-000017,Walker Plc Holdings,NL,YNFG00J1YOFQT49QPE67,2019-09-11,Tom Foster,246265,1B,ENT-000940,matched
CP-000392,Williams plc Ltd,ES,N2JC00PP9GKDLKQZFP67,2017-09-18,Andrew Cruz,14999442,3B,ENT-000066,matched
CP-000326,Peterson Plc Holdings,NL,BVS300K337OV9WXHVY63,2021-03-04,Reginald Diaz,90000450,1B,ENT-000753,matched
CP-000672,"Morris, Thompson and Williams G.m.b.H.",CH,,2021-03-23,Scott Stephens,45300030,2B,ENT-000353,matched
CP-000909,Hughes and Sons Limited,CA,WNND00LS371CDI99MA38,2016-12-15,Cory Howard,82139293,2A,,unmatched
CP-000353,"Fuller, Ingram and Moss grp.",SG,,2021-02-15,Christopher Mullen,51127154,2A,ENT-000490,matched
CP-000038,Goodwin Plc NV,LU,,2022-02-17,Carla Jones,83894171,3B,ENT-000897,matched
CP-000115,"Yates, Ramsey and Pittman",SG,KMY900X8SYLEMRUYP078,2018-05-10,Shannon Green,50804870,1B,ENT-000168,matched
CP-000962,Ward-Fields Holdings,SG,,2019-08-04,Amber Carter,93310265,1B,,unmatched
CP-000853,Khan LLC,DK,,2014-09-25,Martin Fitzpatrick,81215559,3B,ENT-000877,ambiguous
CP-000642,Robles-Swanson L.L.C.,LU,J0UF00O2HOQ5E7L7W014,2018-11-19,Andrea Ho,25825680,NR,ENT-000587,matched
CP-000276,Collins Group P.L.C.,GB,6FTS00CJLEI6WGL8I912,2023-08-10,Thomas Short,38491676,2B,ENT-000919,matched
CP-000148,"Herrera, Jensen and Ramirez cap",GB,,2020-04-27,Michael Cooper,11969032,3A,ENT-000915,matched
CP-000140,"Pugh, Henderson and",HK,WXRO00G983AMB3LPVO88,2013-09-22,Mark Smith,645853,1A,ENT-000375,matched
CP-000244,"Hoffman, Baker and Richards & Co",AT,Q3VL00I7KQ1UYMRLRM43,2013-06-26,Candace Mitchell,9711642,NR,ENT-000027,matched
CP-000470,"Harrison, Franco and Rocha hldgs",JP,,2023-03-27,Mark Anderson,87109360,3A,ENT-000708,matched
CP-000368,Graham grp. SAS,AU,GBIB00F57J2XI3TAMV57,2016-06-19,Marie Boyd,3439687,3B,ENT-000404,matched
CP-000272,Smith-Grimes Ptnrs,SG,,2010-08-10,Jill Conway,6678058,3B,ENT-000309,matched
CP-000168,Jackson P.L.C. Capital,SE,ZPSC00TPN7Y853J5SF55,2013-01-24,Dennis Mills,65139075,3B,ENT-000983,matched
CP-000939,Williams LLC GmbH,CH,,2020-12-10,Jessica Wood,70860176,3A,,unmatched
CP-000860,"Barnes,",CA,,2021-08-07,Heather Maldonado,73304174,1B,ENT-000794,ambiguous
CP-000450,Miller-Brandt N.V.,NL,,2020-04-02,Alejandro Martinez,55947453,NR,ENT-000668,matched
CP-000190,Blevins-Ballard bv,NL,RTSX00OF33QE6JIXUB99,2020-07-25,Michael Roberson,43954589,NR,ENT-000609,matched
CP-000916,Mendoza-Yates PLC,JP,,2010-01-07,Jodi Allen,61598755,2B,,unmatched
CP-000435,"Ramirez, Strickland and Washington",IT,5GCL009LCQH1UF22EP64,2015-07-05,Debbie Dunn,99190177,2B,ENT-000154,matched
CP-000122,Robinson-Brock Corp.,AU,VDP600ORSNC2CZO2SU32,2015-07-21,Laura Lee,58788769,NR,ENT-000146,matched
CP-000010,Lewis Incorporated SAS,HK,UZLL00GYG4F4DESRWQ17,2016-03-27,Eric Henry Jr.,9382918,1B,ENT-000884,matched
CP-000362,Giles LTD & Partners,IT,7H8100JMBPTPDWR1XF36,2010-04-19,Dale Heath,8664145,3B,ENT-000701,matched
CP-000408,Brown grp. & Co,LU,FWR000UI1JLMFLUOAY81,2013-06-01,Tina Walter,7775148,1B,ENT-000494,matched
CP-000485,"Richardson, Farmer and Andrews Corp",IT,3KHY00FK043BLSYJ4U90,2010-03-13,Justin Foster,63221706,3A,ENT-000380,matched
CP-000124,"Harvey, Davis and Crane SRL",ES,,2015-03-16,Susan Powers,47909882,2B,ENT-000138,matched
CP-000198,"James, Stewart and",SE,KCVE00N3V1WNP9OCII49,2015-06-11,Michael Cruz,40537424,1A,ENT-000289,matched
CP-000201,Roberts-Sullivan hldgs,DE,QXO000E1ADNDA37E1J90,2015-01-04,Sarah Booth,3129672,2B,ENT-000407,matched
CP-000576,"Nelson, Morton and",JP,2RTS00OYG9ZQYAHULW43,2011-11-04,Andrew Fernandez,72211233,3B,ENT-000195,matched
CP-000177,Allen Incorporated NV,HK,,2022-03-05,Andrew Roberts,80256261,3B,ENT-000828,matched
CP-000184,Williams Inc. AG,AT,0T2Q008BGJ5G1HOG8E84,2010-02-11,James Jefferson,50844107,3A,ENT-000933,matched
CP-000982,Martinez-Rodriguez AB,HK,,2023-07-28,Philip Bush,83934759,3A,,unmatched
CP-000633,Nolan-Flynn Cap.,DK,2N7H009G1A07H23C4296,2016-04-18,Cody Farmer,77212395,2A,ENT-000104,matched
CP-000179,"Branch, Torres and Oliver Grp",NL,NCPT00KEZJSSZWD0W971,2010-09-08,Peter Williams,49659121,1A,ENT-000230,matched
CP-000437,Carter llc AB,NO,NMYB004BOMZQB09UW866,2012-11-26,Jonathan Clark,10943786,2A,ENT-000840,matched
CP-000678,Hall llc Partners,HK,,2012-08-21,Amanda Nash,26059953,2B,ENT-000949,matched
CP-000961,Thomas Group Partners,ES,,2015-04-13,Brandy Martin,14027190,2B,,unmatched
CP-000005,"Alvarez, Williams and",AT,GXXK00SF2GDAUOS74U51,2010-02-10,Sarah Thompson,19389811,NR,ENT-000743,matched
CP-000933,"Newman, Carter and Brown Ltd",GB,,2016-04-29,Crystal Meza,33484061,3A,,unmatched
CP-000066,James grp. &,HK,,2019-11-07,Peter Thompson,31442715,1A,ENT-000016,matched
CP-000409,"Wood, Ramos and Sampson llc",US,SICV00PDQE97N6Y2C217,2011-01-14,Laura Benson,91303884,1B,ENT-000339,matched
CP-000207,Robertson-Ramirez S.A.,HK,,2016-09-07,Matthew Garcia MD,48322564,1B,ENT-000864,matched
CP-000514,Shaw inc GmbH,DE,AH3Q00N21R91R0HRLI12,2010-06-20,Jacqueline Davis,60466677,2A,ENT-000939,matched
CP-000196,Perez-White SRL,ES,,2022-06-26,Joseph Haynes,5594184,3A,ENT-000216,matched
CP-000154,Mcneil grp. SRL,SG,3PLC00GQLLX70R3SDU23,2022-03-27,Travis Hull,92892142,2A,ENT-000887,matched
CP-000587,Davis plc Holdings,NL,9ZJX00LH8L6E7VAAGU99,2012-04-22,Erica Glass,92594454,3A,ENT-000333,matched
CP-000536,Ford-Spencer N.V.,ES,WTWS003Y4H1TE48M2Q92,2021-08-08,Kenneth Huff,86915386,2A,ENT-000429,matched
CP-000749,"Taylor, Wright",SE,,2015-12-03,Lisa Durham,45772395,1A,ENT-000462,ambiguous
CP-000704,King-York NV,NL,,2015-08-12,Christopher Rivera,76487049,1A,ENT-000439,ambiguous
CP-000899,Gregory-Watkins,NO,,2014-07-20,Aaron Young,19326627,3A,ENT-000396,ambiguous
CP-000895,Spence,NO,,2017-12-01,Mark Mills,33546562,NR,ENT-000045,ambiguous
CP-000765,Good-Hodges AB,JP,,2010-07-22,Brian Cervantes,27375395,3A,ENT-000293,ambiguous
CP-000366,navarro-munoz ab,ES,QMGV00U4ISOTN9UZER98,2013-01-19,John Anderson,35221991,NR,ENT-000245,matched
CP-000701,Carter-Neal &,DE,,2020-06-24,Elizabeth Hunter,40165416,1A,ENT-000781,ambiguous
CP-000060,"Davis, George and Nguyen ag",ES,,2022-01-23,Kristen Randall,7272167,NR,ENT-000767,matched
CP-000092,Spence P.L.C. AB,NO,,2023-08-20,Samuel Suarez,6137274,1A,ENT-000045,matched
CP-000298,Bryant-Brown Corp,US,,2010-02-22,Michael Sloan,20450750,NR,ENT-000658,matched
CP-000142,Torres-Pope Grp,SE,VG9K00U8S63E1OCJXZ26,2012-09-30,Katherine Gallagher,38415802,2B,ENT-000114,matched
CP-000471,Jones Inc. Group,NO,SOLM00LGSES6M033IF35,2011-01-23,Alyssa Alvarado,15377822,NR,ENT-000054,matched
CP-000067,"Bentley, Byrd and Orr Limited",SG,,2010-11-06,Dr. Rhonda Martinez,18448255,3A,ENT-000132,matched
CP-000390,"Bryan, Smith and Booth",ES,Q7BZ00EGBL2QGV3DR238,2013-03-11,Charles Frost,32178118,3B,ENT-000257,matched
CP-000194,"Turner, Schneider and",AU,MHBY00HZ43XZ6OLBA135,2013-04-07,Patricia Ray,22209952,NR,ENT-000358,matched
CP-000273,"Woods, Calhoun and Schmidt",JP,,2015-09-05,Lisa Haley,72998620,1B,ENT-000076,matched
CP-000970,Preston-Harper Inc,LU,,2012-10-30,Gloria Mckinney,81212704,NR,,unmatched
CP-000048,Roberts-Landry N.V.,LU,9MKB009XN4M41KHT8X48,2018-09-11,Anthony Armstrong,74359884,3A,ENT-000254,matched
CP-000971,Garner Inc LLC,US,7OBB00C83Y0CLCCVGJ42,2021-07-14,Scott Thomas,11092522,1B,,unmatched
CP-000319,Levy-May AB,DK,B3PK00BQY3OT760RS619,2014-09-08,Casey Obrien,89948654,2A,ENT-000715,matched
CP-000683,Guerrero inc Capital,SE,,2010-10-31,Jesse Riley,16563308,2B,ENT-000351,matched
CP-000259,Wagner-King AB,NO,,2022-12-23,Jose Bennett,17496478,3A,ENT-000096,matched
CP-000599,Cisneros and Sons S.A.,FR,,2013-08-04,Deanna Webb,89241214,2A,ENT-000513,matched
